Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,3.860.000.000,3.960.000.000,3.850.000.000,3.960.000.000,3.413.670.410,97525800
2018-11-22,3.910.000.000,3.990.000.000,3.910.000.000,3.980.000.000,3.430.911.133,52279900
2018-11-23,3.980.000.000,4.000.000.000,3.950.000.000,3.990.000.000,3.439.531.250,35499400
2018-11-26,3.980.000.000,4.000.000.000,3.950.000.000,3.990.000.000,3.439.531.250,43879100
2018-11-27,3.940.000.000,3.950.000.000,3.850.000.000,3.880.000.000,3.344.707.275,116422400
2018-11-28,3.890.000.000,3.900.000.000,3.710.000.000,3.720.000.000,3.206.781.250,195860500
2018-11-29,3.770.000.000,3.810.000.000,3.710.000.000,3.740.000.000,3.224.021.973,120921500
2018-11-30,3.760.000.000,3.780.000.000,3.680.000.000,3.680.000.000,3.172.299.561,151545800
2018-12-03,3.740.000.000,3.770.000.000,3.700.000.000,3.700.000.000,3.189.540.283,106891000
2018-12-04,3.720.000.000,3.780.000.000,3.720.000.000,3.780.000.000,3.258.503.418,121586400
2018-12-05,3.740.000.000,3.800.000.000,3.730.000.000,3.770.000.000,3.249.883.057,58424400
2018-12-06,3.740.000.000,3.770.000.000,3.700.000.000,3.710.000.000,3.198.160.889,62164100
2018-12-07,3.700.000.000,3.710.000.000,3.660.000.000,3.670.000.000,3.163.679.443,92902000
2018-12-10,3.650.000.000,3.720.000.000,3.610.000.000,3.680.000.000,3.172.299.561,70093700
2018-12-11,3.640.000.000,3.670.000.000,3.610.000.000,3.620.000.000,3.120.577.148,88050700
2018-12-12,3.660.000.000,3.670.000.000,3.620.000.000,3.650.000.000,3.146.438.477,87333000
2018-12-13,3.680.000.000,3.780.000.000,3.660.000.000,3.750.000.000,3.232.642.334,118965900
2018-12-14,3.800.000.000,3.840.000.000,3.730.000.000,3.730.000.000,3.215.401.611,139547100
2018-12-17,3.740.000.000,3.770.000.000,3.710.000.000,3.710.000.000,3.198.160.889,86251600
2018-12-18,3.700.000.000,3.740.000.000,3.680.000.000,3.740.000.000,3.224.021.973,79833100
2018-12-19,3.740.000.000,3.810.000.000,3.740.000.000,3.810.000.000,3.284.364.502,81542500
2018-12-20,3.810.000.000,3.810.000.000,3.720.000.000,3.740.000.000,3.224.021.973,100129200
2018-12-21,3.700.000.000,3.770.000.000,3.700.000.000,3.760.000.000,3.241.262.695,114752300
2018-12-24,3.760.000.000,3.760.000.000,3.760.000.000,3.760.000.000,3.241.262.695,0
2018-12-25,3.760.000.000,3.760.000.000,3.760.000.000,3.760.000.000,3.241.262.695,0
2018-12-26,3.730.000.000,3.750.000.000,3.700.000.000,3.730.000.000,3.215.401.611,50416400
2018-12-27,3.780.000.000,3.790.000.000,3.730.000.000,3.750.000.000,3.232.642.334,49980900
2018-12-28,3.770.000.000,3.780.000.000,3.750.000.000,3.750.000.000,3.232.642.334,48224400
2018-12-31,3.750.000.000,3.750.000.000,3.750.000.000,3.750.000.000,3.232.642.334,0
2019-01-01,3.750.000.000,3.750.000.000,3.750.000.000,3.750.000.000,3.232.642.334,0
2019-01-02,3.750.000.000,3.760.000.000,3.700.000.000,3.730.000.000,3.215.401.611,31355300
2019-01-03,3.710.000.000,3.770.000.000,3.690.000.000,3.740.000.000,3.224.021.973,83842400
2019-01-04,3.690.000.000,3.740.000.000,3.690.000.000,3.710.000.000,3.198.160.889,73936900
